epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,3739.81,0.76172,0.97639,1.02707,1.04237,0.67217,0.2,0.26718,0.20587,0.63498,0.1955,0.23493,0.10487,1.34259,2.05323,2.44734,1.50405,0.000517375,0.000517375,0.000517375
41,3832.69,0.75209,1.04975,0.87119,1.02997,0.71185,0.2,0.28136,0.2264,0.69024,0.19499,0.2413,0.1515,1.41009,1.90953,2.37342,1.52775,0.000505,0.000505,0.000505
42,3925.01,0.78991,1.01851,0.99718,1.04329,0.70078,0.26667,0.52869,0.36537,0.66308,0.23333,0.38853,0.28342,1.33842,1.81061,2.46455,1.45807,0.000492625,0.000492625,0.000492625
43,4017.6,0.75402,0.93538,0.85633,1.01407,0.58502,0.33333,0.63615,0.4382,0.55861,0.23333,0.58867,0.30842,1.22697,1.7576,2.50612,1.49136,0.00048025,0.00048025,0.00048025
44,4110.97,0.72061,1.06032,0.89355,1.00296,0.59233,0.33333,0.64369,0.42702,0.56866,0.23333,0.59195,0.27547,1.12484,1.73919,2.36138,1.36562,0.000467875,0.000467875,0.000467875
45,4202.72,0.7199,0.82652,0.79278,1.01831,0.66277,0.33333,0.44148,0.2899,0.60546,0.2,0.33395,0.14499,1.25031,1.82799,2.47182,1.44336,0.0004555,0.0004555,0.0004555
46,4294.21,0.64378,0.83408,0.80332,0.96729,0.66277,0.33333,0.44148,0.2899,0.60546,0.2,0.33395,0.14499,1.25031,1.82799,2.47182,1.44336,0.000443125,0.000443125,0.000443125
47,4386.17,0.76848,1.08709,0.97495,1.01644,0.68127,0.3,0.472,0.34609,0.34629,0.2,0.3907,0.20824,1.23145,1.77839,2.47748,1.41401,0.00043075,0.00043075,0.00043075
48,4478.59,0.71131,1.12411,0.89572,1.02714,0.2984,0.5,0.3541,0.27667,0.15206,0.4,0.24598,0.12844,1.23005,1.72779,2.41195,1.42951,0.000418375,0.000418375,0.000418375
49,4569.77,0.73344,1.03934,0.92932,1.01609,0.39882,0.43333,0.45338,0.36626,0.41568,0.46423,0.36019,0.215,1.24812,1.60279,2.27968,1.45771,0.000406,0.000406,0.000406
